period,window_days,buy_thresh,sell_thresh,return_pct,max_dd_pct,trades,win_rate,profit_factor,calmar,static_return_pct,static_max_dd_pct,outperformance
2018_Bear,365,-1.8,2.0,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2018_Bear,365,-1.8,2.5,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2018_Bear,365,-1.8,3.0,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2018_Bear,365,-1.8,3.5,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2018_Bear,365,-2.0,1.5,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2018_Bear,365,-2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2018_Bear,365,-2.0,2.5,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2018_Bear,365,-2.0,3.0,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2018_Bear,365,-2.0,3.5,0.0,0.0,0,0.0,0.0,0.0,-49.11960908717131,-61.57813200606692,49.11960908717131
2019_Recovery,365,-1.0,1.5,58.456673109306436,-9.19655417706137,2,100.0,999.0,6.356366959171814,87.16174456068191,-48.982813000684764,-28.705071451375474
2019_Recovery,365,-1.0,2.0,73.38896234788598,-9.19655417706137,2,100.0,999.0,7.980050020358428,87.16174456068191,-48.982813000684764,-13.772782212795931
2019_Recovery,365,-1.0,2.5,95.83906562367797,-9.19655417706137,2,100.0,999.0,10.42119295754554,87.16174456068191,-48.982813000684764,8.677321062996057
2019_Recovery,365,-1.0,3.0,112.4239002579821,-9.19655417706137,2,100.0,999.0,12.224567821108142,87.16174456068191,-48.982813000684764,25.262155697300187
2019_Recovery,365,-1.0,3.5,112.4239002579821,-9.19655417706137,2,100.0,999.0,12.224567821108142,87.16174456068191,-48.982813000684764,25.262155697300187
2019_Recovery,365,-1.2,1.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.2,2.0,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.2,2.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.2,3.0,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.2,3.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.5,1.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.5,2.0,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.5,2.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.5,3.0,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.5,3.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.8,1.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.8,2.0,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.8,2.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.8,3.0,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-1.8,3.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-2.0,1.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-2.0,2.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-2.0,3.0,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2019_Recovery,365,-2.0,3.5,0.0,0.0,0,0.0,0.0,0.0,87.16174456068191,-48.982813000684764,-87.16174456068191
2020_2021_Bull,365,-1.0,1.5,137.0025204159539,-37.16953856011708,3,66.66666666666666,999.0,3.6858816580240688,1100.7864929287407,-51.86169126186414,-963.7839725127868
2020_2021_Bull,365,-1.0,2.0,152.35204500933818,-37.16953856011708,3,66.66666666666666,999.0,4.0988414414380685,1100.7864929287407,-51.86169126186414,-948.4344479194025
2020_2021_Bull,365,-1.0,2.5,187.94079950024062,-37.16953856011708,3,66.66666666666666,999.0,5.056312420889214,1100.7864929287407,-51.86169126186414,-912.8456934285001
2020_2021_Bull,365,-1.0,3.0,187.94079950024062,-37.16953856011708,3,66.66666666666666,999.0,5.056312420889214,1100.7864929287407,-51.86169126186414,-912.8456934285001
2020_2021_Bull,365,-1.0,3.5,226.1156448228177,-37.16953856011708,3,66.66666666666666,999.0,6.08335894342901,1100.7864929287407,-51.86169126186414,-874.670848105923
2020_2021_Bull,365,-1.2,1.5,275.8939297251491,-31.620077760975995,3,66.66666666666666,999.0,8.725276762780272,1100.7864929287407,-51.86169126186414,-824.8925632035916
2020_2021_Bull,365,-1.2,2.0,300.23878947049576,-31.620077760976002,3,66.66666666666666,999.0,9.49519453241308,1100.7864929287407,-51.86169126186414,-800.547703458245
2020_2021_Bull,365,-1.2,2.5,356.68374522932214,-31.620077760975988,3,66.66666666666666,999.0,11.280293107612923,1100.7864929287407,-51.86169126186414,-744.1027476994186
