period,window_days,buy_thresh,sell_thresh,return_pct,max_dd_pct,trades
2020_2021_Bull,365,-1.8,2.5,0.0,0.0,0
2020_2021_Bull,365,-1.8,3.0,0.0,0.0,0
2020_2021_Bull,365,-1.8,3.5,0.0,0.0,0
2020_2021_Bull,365,-2.0,1.5,0.0,0.0,0
2020_2021_Bull,365,-2.0,2.0,0.0,0.0,0
2020_2021_Bull,365,-2.0,2.5,0.0,0.0,0
2020_2021_Bull,365,-2.0,3.0,0.0,0.0,0
2020_2021_Bull,365,-2.0,3.5,0.0,0.0,0
2020_2021_Bull,730,-1.0,1.5,0.0,0.0,0
2020_2021_Bull,730,-1.0,2.0,0.0,0.0,0
2020_2021_Bull,730,-1.0,2.5,0.0,0.0,0
2020_2021_Bull,730,-1.0,3.0,0.0,0.0,0
2020_2021_Bull,730,-1.0,3.5,0.0,0.0,0
2020_2021_Bull,730,-1.2,1.5,0.0,0.0,0
2020_2021_Bull,730,-1.2,2.0,0.0,0.0,0
2020_2021_Bull,730,-1.2,2.5,0.0,0.0,0
2020_2021_Bull,730,-1.2,3.0,0.0,0.0,0
2020_2021_Bull,730,-1.2,3.5,0.0,0.0,0
2020_2021_Bull,730,-1.5,1.5,0.0,0.0,0
2020_2021_Bull,730,-1.5,2.0,0.0,0.0,0
2020_2021_Bull,730,-1.5,2.5,0.0,0.0,0
2020_2021_Bull,730,-1.5,3.0,0.0,0.0,0
2020_2021_Bull,730,-1.5,3.5,0.0,0.0,0
2020_2021_Bull,730,-1.8,1.5,0.0,0.0,0
2020_2021_Bull,730,-1.8,2.0,0.0,0.0,0
2020_2021_Bull,730,-1.8,2.5,0.0,0.0,0
2020_2021_Bull,730,-1.8,3.0,0.0,0.0,0
2020_2021_Bull,730,-1.8,3.5,0.0,0.0,0
2020_2021_Bull,730,-2.0,1.5,0.0,0.0,0
2020_2021_Bull,730,-2.0,2.0,0.0,0.0,0
2020_2021_Bull,730,-2.0,2.5,0.0,0.0,0
2020_2021_Bull,730,-2.0,3.0,0.0,0.0,0
2020_2021_Bull,730,-2.0,3.5,0.0,0.0,0
2022_Bear,365,-1.0,1.5,0.0,0.0,0
2022_Bear,365,-1.0,2.0,0.0,0.0,0
2022_Bear,365,-1.0,2.5,0.0,0.0,0
2022_Bear,365,-1.0,3.0,0.0,0.0,0
2022_Bear,365,-1.0,3.5,0.0,0.0,0
2022_Bear,365,-1.2,1.5,0.0,0.0,0
2022_Bear,365,-1.2,2.0,0.0,0.0,0
2022_Bear,365,-1.2,2.5,0.0,0.0,0
2022_Bear,365,-1.2,3.0,0.0,0.0,0
2022_Bear,365,-1.2,3.5,0.0,0.0,0
2022_Bear,365,-1.5,1.5,0.0,0.0,0
2022_Bear,365,-1.5,2.0,0.0,0.0,0
2022_Bear,365,-1.5,2.5,0.0,0.0,0
2022_Bear,365,-1.5,3.0,0.0,0.0,0
2022_Bear,365,-1.5,3.5,0.0,0.0,0
2022_Bear,365,-1.8,1.5,0.0,0.0,0
2022_Bear,365,-1.8,2.0,0.0,0.0,0
2022_Bear,365,-1.8,2.5,0.0,0.0,0
2022_Bear,365,-1.8,3.0,0.0,0.0,0
2022_Bear,365,-1.8,3.5,0.0,0.0,0
2022_Bear,365,-2.0,1.5,0.0,0.0,0
2022_Bear,365,-2.0,2.0,0.0,0.0,0
2022_Bear,365,-2.0,2.5,0.0,0.0,0
2022_Bear,365,-2.0,3.0,0.0,0.0,0
2022_Bear,365,-2.0,3.5,0.0,0.0,0
2023_2024_Cycle,365,-1.0,1.5,74.50864396617784,-20.961001406586963,1
2023_2024_Cycle,365,-1.0,2.0,74.50864396617784,-20.961001406586963,1
2023_2024_Cycle,365,-1.0,2.5,74.50864396617784,-20.961001406586963,1
2023_2024_Cycle,365,-1.0,3.0,74.50864396617784,-20.961001406586963,1
2023_2024_Cycle,365,-1.0,3.5,74.50864396617784,-20.961001406586963,1
2023_2024_Cycle,365,-1.2,1.5,80.51286036064877,-16.142106564136235,1
2023_2024_Cycle,365,-1.2,2.0,80.51286036064877,-16.142106564136235,1
2023_2024_Cycle,365,-1.2,2.5,80.51286036064877,-16.142106564136235,1
2023_2024_Cycle,365,-1.2,3.0,80.51286036064877,-16.142106564136235,1
2023_2024_Cycle,365,-1.2,3.5,80.51286036064877,-16.142106564136235,1
2023_2024_Cycle,365,-1.5,1.5,73.54108986626983,-8.519272687087241,1
2023_2024_Cycle,365,-1.5,2.0,73.54108986626983,-8.519272687087241,1
2023_2024_Cycle,365,-1.5,2.5,73.54108986626983,-8.519272687087241,1
2023_2024_Cycle,365,-1.5,3.0,73.54108986626983,-8.519272687087241,1
2023_2024_Cycle,365,-1.5,3.5,73.54108986626983,-8.519272687087241,1
2023_2024_Cycle,365,-1.8,1.5,0.0,0.0,0
2023_2024_Cycle,365,-1.8,2.0,0.0,0.0,0
2023_2024_Cycle,365,-1.8,2.5,0.0,0.0,0
2023_2024_Cycle,365,-1.8,3.0,0.0,0.0,0
2023_2024_Cycle,365,-1.8,3.5,0.0,0.0,0
2023_2024_Cycle,365,-2.0,1.5,0.0,0.0,0
2023_2024_Cycle,365,-2.0,2.0,0.0,0.0,0
2023_2024_Cycle,365,-2.0,2.5,0.0,0.0,0
2023_2024_Cycle,365,-2.0,3.0,0.0,0.0,0
2023_2024_Cycle,365,-2.0,3.5,0.0,0.0,0
Full_History,365,-1.0,1.5,49.55433903258894,-76.63456370856909,7
Full_History,365,-1.0,2.0,81.36667947503884,-76.63456370856909,7
Full_History,365,-1.0,2.5,159.03302421576882,-76.63456370856908,7
Full_History,365,-1.0,3.0,209.7706834559674,-76.63456370856909,7
Full_History,365,-1.0,3.5,625.2892171847922,-76.63456370856909,7
Full_History,365,-1.2,1.5,191.98600928000025,-76.63456370856908,7
Full_History,365,-1.2,2.0,254.09559695049646,-76.63456370856909,7
Full_History,365,-1.2,2.5,405.72935229923894,-76.63456370856908,7
Full_History,365,-1.2,3.0,504.78824111239396,-76.63456370856908,7
Full_History,365,-1.2,3.5,1316.0358400130112,-76.63456370856909,7
Full_History,365,-1.5,1.5,161.45971508451095,-67.16664292494335,7
Full_History,365,-1.5,2.0,217.07592469807446,-67.16664292494335,7
Full_History,365,-1.5,2.5,352.85680874946735,-67.16664292494335,7
Full_History,365,-1.5,3.0,441.55937675791944,-67.16664292494335,7
Full_History,365,-1.5,3.5,1167.9933815740449,-67.16664292494335,7
Full_History,365,-1.8,1.5,111.96127236285407,-50.34244473546355,4
Full_History,365,-1.8,2.0,134.9113971032919,-50.342444735463566,4
Full_History,365,-1.8,2.5,197.04609062315558,-50.342444735463566,4
Full_History,365,-1.8,3.0,227.4952225074137,-50.342444735463566,4
Full_History,365,-1.8,3.5,666.7890031237417,-50.342444735463566,4
Full_History,365,-2.0,1.5,172.74784156557556,-35.36177532999875,4
Full_History,365,-2.0,2.0,202.27963724143558,-35.36177532999876,4
Full_History,365,-2.0,2.5,282.23341065939195,-35.36177532999876,4
Full_History,365,-2.0,3.0,321.4147899104083,-35.36177532999876,4
Full_History,365,-2.0,3.5,886.6898948417116,-35.36177532999876,4
Full_History,730,-1.0,1.5,81.19176618201452,-67.16664292494333,4
Full_History,730,-1.0,2.0,168.1697198314458,-67.16664292494333,4
Full_History,730,-1.0,2.5,388.992746901324,-67.16664292494333,4
Full_History,730,-1.0,3.0,783.8975620593279,-67.16664292494333,3
Full_History,730,-1.0,3.5,974.1450855649124,-67.16664292494333,3
Full_History,730,-1.2,1.5,162.69767904109193,-67.16664292494333,4
Full_History,730,-1.2,2.0,288.80112751952123,-67.16664292494333,4
Full_History,730,-1.2,2.5,608.9574895465469,-67.16664292494333,4
Full_History,730,-1.2,3.0,1181.503254567389,-67.16664292494333,3
Full_History,730,-1.2,3.5,1457.3302632738892,-67.16664292494333,3
Full_History,730,-1.5,1.5,0.0,0.0,0
Full_History,730,-1.5,2.0,0.0,0.0,0
Full_History,730,-1.5,2.5,0.0,0.0,0
Full_History,730,-1.5,3.0,0.0,0.0,0
Full_History,730,-1.5,3.5,0.0,0.0,0
Full_History,730,-1.8,1.5,0.0,0.0,0
Full_History,730,-1.8,2.0,0.0,0.0,0
Full_History,730,-1.8,2.5,0.0,0.0,0
Full_History,730,-1.8,3.0,0.0,0.0,0
Full_History,730,-1.8,3.5,0.0,0.0,0
Full_History,730,-2.0,1.5,0.0,0.0,0
